Minute,Hour,NO2,O3,Region,Location
2023-07-18 21:25:00,21PM,24.88,0.21,Tangerang,Panunggangan Utara
2023-07-18 21:30:00,21PM,,,Tangerang,Panunggangan Utara
2023-07-18 21:35:00,21PM,23.6,0.0,Tangerang,Panunggangan Utara
2023-07-18 21:40:00,21PM,,,Tangerang,Panunggangan Utara
2023-07-18 21:45:00,21PM,22.77,0.0,Tangerang,Panunggangan Utara
2023-07-18 21:50:00,21PM,,,Tangerang,Panunggangan Utara
2023-07-18 21:55:00,21PM,22.85,0.0,Tangerang,Panunggangan Utara
2023-07-18 22:00:00,22PM,,,Tangerang,Panunggangan Utara
2023-07-18 22:05:00,22PM,24.24,0.0,Tangerang,Panunggangan Utara
2023-07-18 22:10:00,22PM,,,Tangerang,Panunggangan Utara
2023-07-18 22:15:00,22PM,26.07,0.0,Tangerang,Panunggangan Utara
2023-07-18 22:20:00,22PM,,,Tangerang,Panunggangan Utara
2023-07-18 22:25:00,22PM,26.47,0.0,Tangerang,Panunggangan Utara
2023-07-18 22:30:00,22PM,,,Tangerang,Panunggangan Utara
2023-07-18 22:35:00,22PM,29.7,0.0,Tangerang,Panunggangan Utara
2023-07-18 22:40:00,22PM,,,Tangerang,Panunggangan Utara
2023-07-18 22:45:00,22PM,31.93,0.0,Tangerang,Panunggangan Utara
2023-07-18 22:50:00,22PM,,,Tangerang,Panunggangan Utara
2023-07-18 22:55:00,22PM,32.97,0.0,Tangerang,Panunggangan Utara
2023-07-18 23:00:00,23PM,,,Tangerang,Panunggangan Utara
2023-07-18 23:05:00,23PM,34.6,0.0,Tangerang,Panunggangan Utara
2023-07-18 23:10:00,23PM,,,Tangerang,Panunggangan Utara
2023-07-18 23:15:00,23PM,34.62,0.0,Tangerang,Panunggangan Utara
2023-07-18 23:20:00,23PM,,,Tangerang,Panunggangan Utara
2023-07-18 23:25:00,23PM,34.23,0.0,Tangerang,Panunggangan Utara
2023-07-18 23:30:00,23PM,,,Tangerang,Panunggangan Utara
2023-07-18 23:35:00,23PM,32.48,0.0,Tangerang,Panunggangan Utara
2023-07-18 23:40:00,23PM,,,Tangerang,Panunggangan Utara
2023-07-18 23:45:00,23PM,31.25,0.0,Tangerang,Panunggangan Utara
2023-07-18 23:50:00,23PM,,,Tangerang,Panunggangan Utara
2023-07-18 23:55:00,23PM,30.69,0.0,Tangerang,Panunggangan Utara
2023-07-19 00:00:00,0AM,,,Tangerang,Panunggangan Utara
2023-07-19 00:05:00,0AM,30.5,0.0,Tangerang,Panunggangan Utara
2023-07-19 00:10:00,0AM,,,Tangerang,Panunggangan Utara
2023-07-19 00:15:00,0AM,29.15,0.0,Tangerang,Panunggangan Utara
2023-07-19 00:20:00,0AM,,,Tangerang,Panunggangan Utara
2023-07-19 00:25:00,0AM,29.26,0.0,Tangerang,Panunggangan Utara
2023-07-19 00:30:00,0AM,,,Tangerang,Panunggangan Utara
2023-07-19 00:35:00,0AM,28.88,0.0,Tangerang,Panunggangan Utara
2023-07-19 00:40:00,0AM,,,Tangerang,Panunggangan Utara
2023-07-19 00:45:00,0AM,28.33,0.0,Tangerang,Panunggangan Utara
2023-07-19 00:50:00,0AM,,,Tangerang,Panunggangan Utara
2023-07-19 00:55:00,0AM,27.26,0.0,Tangerang,Panunggangan Utara
2023-07-19 01:00:00,1AM,,,Tangerang,Panunggangan Utara
2023-07-19 01:05:00,1AM,27.46,0.0,Tangerang,Panunggangan Utara
2023-07-19 01:10:00,1AM,,,Tangerang,Panunggangan Utara
2023-07-19 01:15:00,1AM,28.69,0.0,Tangerang,Panunggangan Utara
2023-07-19 01:20:00,1AM,,,Tangerang,Panunggangan Utara
2023-07-19 01:25:00,1AM,28.97,0.0,Tangerang,Panunggangan Utara
2023-07-19 01:30:00,1AM,,,Tangerang,Panunggangan Utara
2023-07-19 01:35:00,1AM,28.97,0.0,Tangerang,Panunggangan Utara
